"Dewey classification","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Title","Variant titles","Series title","Number within series","Country of publication","Place of creation/publication","Publisher","Date of creation/publication","Edition","Physical description","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"823.8","016873172","Monograph","Language material ; Still image ; Text","Volume","GBB4A2287","","9781782010654","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Ntuli, D. B. Z., translator [person]","U-Alice ezweni Lezimanga","Alice's adventures in Wonderland. Zulu","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","xiv, 139 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","Zulu","Translated from the English",""
"823.8","016885468","Monograph","Language material ; Still image ; Text","Volume","GBB4A6385","","9781406360431","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Oxenbury, Helen, illustrator [person]","Alice's adventures in Wonderland","","","","England","London","Walker","2014","150th anniversary edition, illustrated by Helen Oxenbury","206 pages, illustrations (black and white and colour), 24 cm","YKL.2015.a.16373","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
"823.8","016885662","Monograph","Language material ; Still image ; Text","Volume","GBB4A6579","","9781471141614","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland : Through the looking glass","Through the looking-glass ; Works. Selections","","","England","London","Simon & Schuster","2015","","vi, 282 pages, black and white illustrations, 20 cm","H.2016/.7220","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"823.8","016891519","Monograph","Language material ; Still image ; Text","Volume","GBB4B4290","","9781937994976","Nichols, Catherine","","person","author","Nichols, Catherine, author [person]","Alice's Wonderland : a visual journey through Lewis Carroll's mad, mad world","","","","United States of America","New York","Race Point","2014","","xii, 202 pages, illustrations, 32 cm","LC.31.b.15489","Carroll, Lewis, 1832-1898--Influence ; Influence (Literary, artistic, etc.)","","English","",""
"823.8","016912062","Monograph","Language material ; Text","Volume","GBB4B8668","","9780192739810","","","","","Sewell, Anna, 1820-1878 [person] ; Carroll, Lewis, 1832-1898 [person] ; Montgomery, L. M. (Lucy Maud), 1874-1942 [person] ; Burnett, Frances Hodgson, 1849-1924 [person]","Oxford children's classics world of wonder box set","Alice's adventures in Wonderland ; Anne of Green Gables ; Black Beauty ; Children's classics world of wonder box set ; Secret garden ; Through the looking-glass ; World of wonder box set","","","England","Oxford","Oxford University Press","2014","","5 volumes, 20 cm","","Children's stories, English","","English","Boxed",""
"823.8","016913559","Monograph","Language material ; Still image ; Text","Volume","GBB4C0163","","9781782010609","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Byrne, Catherine M., translator [person] ; Tenniel, John, 1820-1914, illustrator [person]","Alice's mishanters in e Land o Farlies","Alice's adventures in Wonderland. Scots","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","viii, 121 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","Scots","Translated from the English",""
"823.8","016913561","Monograph","Language material ; Still image ; Text","Volume","GBB4C0165","","9781782010845","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person] ; Begg, J. A. (James A.), translator [person]","Alison's jants in Ferlieland","Alice's adventures in Wonderland. Scots","","","Ireland","Cathair na Mart, Colorado Mhaigh Eo, Éire","Evertype","2014","","ix, 124 pages, black and white illustrations, 22 cm","","Alice (Fictitious character from Carroll)--Juvenile fiction","Children's fiction ; Fantasy","Scots","Translated from the English",""
"823.8","016965843","Monograph","Language material ; Still image ; Text","Online resource (ePub ebook)","GBB4D8359","","9781447292951","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","Through the looking glass","","Macmillan Children's Classics","2 [Macmillan Children's Classics]","England","London","Macmillan","2015","Macmillan classics edition","1 online resource, illustrations","ELD.DS.109675","Classic Fiction (Pre C 1945) ; Classics ; Alice, (Fictitious character from Carroll)--Juvenile fiction ; Fantasy ; Fantasy & magical realism (Children's / Teenage) ; Fantasy & Magic","Children's fiction","English","Additional physical form: Print version. 9781447273097 ; This edition previously issued in print: 2014",""
"823.8","016974847","Monograph","Language material ; Still image ; Text","Volume","GBB4E5521","","9781447277781","","","","","Tenniel, John, 1820-1914, illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Alice's adventures in Wonderland : adapted for very little folks from the original story by Lewis Carroll","Alice's adventures in Wonderland","","","England","London","Macmillan","2015","Little folks' edition","127 pages, colour illustrations, 13 cm","Nov.2016/1964","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","'Celebrating 150 years of Lewis Carroll's classic'--Cover Band ; 'The 1907 edition, on which the present book is based, features Tenniel's Alice in a red dress for the first and only time'--Page 5 ; Originally published: London : Macmillan & Co. Ltd, 1907",""
"823.8","016974848","Monograph","Language material ; Still image ; Text","Volume","GBB4E5522","","9781447279990","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Tenniel, John, 1820-1914, illustrator [person]","Alice's adventures in Wonderland","","","","England","London","Macmillan","2015","","196 pages, illustrations","YKL.2016.a.10804","Alice, (Fictitious character from Carroll)--Juvenile fiction","Children's fiction","English","",""
