"Title","Other titles","BL record ID","Type of resource","Content type","Material type","BNB number","Archival Resource Key","ISBN","Name","Dates associated with name","Type of name","Role","All names","Series title","Number within series","Country of publication","Place of publication","Publisher","Date of creation/publication","Edition","Physical description","Dewey classification","BL shelfmark","Topics","Genre","Languages","Notes","Provenance"
"Through the looking glass","Alice's adventures in Wonderland ; Alice's adventures in Wonderland : and, Through the looking glass ; Novels. Selections","017611600","Monograph","Language material ; Still image ; Text","Volume","GBB5G2526","","9781554812417","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Kelly, Richard, 1937-, editor [person]","Broadview editions","","Canada","Peterborough, Ontariotario","Broadview","2015","","462 pages, black and white illustrations, 22 cm","823.8","H.2017/.7812","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","",""
"Through the looking glass","Alice's adventures in Wonderland ; Alice's cabinet of curiosities","018618282","Monograph","Language material ; Still image ; Text","Volume","GBC0C7683","","9780993328466","","","","","Erebus Society, publisher [organisation] ; Carroll, Lewis, 1832-1898 [person] ; Gotha, Alice von, illustrator [person]","","","Scotland","Glasgow","Erebus Society","2017","First edition","185 pages, black and white illustrations, 23 cm","823.92","H.2019/.7428","Alice, (Fictitious character from Carroll)--Fiction","Fiction","English","Original stories written by Lewis Carroll",""
"Through the looking glass","Lewis Carroll's 'Through the looking glass and what Alice found there'","008047279","Monograph","Language material ; Text","Volume","GB7602571","","9780246109194","Carroll, Lewis","1832-1898","person","author","Carroll, Lewis, 1832-1898, author [person] ; Steadman, Ralph, illustrator [person]","","","England","London","Hart-Davis MacGibbon","1975","","144 pages, illustrations, 32 cm","823.8","X.995/301","Fiction in English ; Fiction in English--1837-1900--Texts","","English","This illustrated version originally published: London : MacGibbon and Kee, 1972",""
"Through the looking glass","Through the looking-glass","000617625","Monograph","Language material ; Text","Volume","","","","Ross, Roselle","","person","author","Ross, Roselle, author [person] ; Carroll, Lewis, 1832-1898 [person] ; Collison, Marjorie, illustrator [person]","Maxton Books for Little People","","England ; United States of America","New York","Maxton","1947","","30 pages, illustrations (some colour), 26 cm","","W.P.1722/14","","","English","",""
"Through the looking glass","Through the looking-glass","008992681","Monograph","Language material ; Text","Volume","GB5412923","","","Schofield, Mary","","person","playwright","Carroll, Lewis, 1832-1898 [person] ; Schofield, Mary, playwright [person]","Nelson theatre series Section 3","number 86 [Nelson theatre series Section 3]","England","London","Thomas Nelson","1954","","87 pages, 19 cm","822.91","X.989/28254. (46.)","","","English","",""
"Through the looking glass","Through the looking-glass","009645551","Monograph","Language material ; Text","Volume","GB5606965","","","","","","","Carroll, Lewis, 1832-1898 [person]","Silver torch series","number 81 [Silver torch series]","Scotland","Glasgow","Collins","1956","","96 pages, illustrations, 16 cm","823.8","W.P.12902/81","","","English","",""
"Through the looking glass","Through the looking-glass","012596105","Monograph","Language material ; Text","Volume","GB9422647","","9780195852684","","","","","Carroll, Lewis, 1832-1898 [person]","Oxford progressive english readers. Grade 2","","England ; Hong Kong","Oxford","Oxford University Press","1992","","73 pages, illustrations, 21 cm","428.64","H.94/1039","English language--Reading books","","English","",""
"Through the looking glass","Through the looking-glass","013945153","Monograph","Language material ; Still image ; Text","Volume","GBB525423","","9780195462388","","","","","Chan, K. Y., illustrator [person] ; Carroll, Lewis, 1832-1898 [person]","Oxford progressive English readers. Level 2","","England","Oxford","Oxford University Press","2007","Second edition","vii, 76 pages, colour illustrations, 20 cm","428.64","YK.2013.a.1007","","Reader","English","Previous edition: 1992",""
"Through the looking glass","Through the looking-glass","016552388","Monograph","Language material ; Text","Volume","GBB5G9722","","9780956571915","Blackwood, Chris","","person","author","Carroll, Lewis, 1832-1898 [person] ; Blackwood, Chris, author [person] ; Chater-Robinson, Piers, composer [person]","","","England","London","International Theatre & Music","2013","","96 pages, 21 cm","782.14","YC.2015.a.13228","Musicals","","English","",""
"Through the looking glass, and what Alice found there","'Alice' on the stage ; Alice's adventures in Wonderland : and, Through the looking-glass and what Alice found there ; Alice's adventures under ground ; Novels. Selections ; Through the looking-glass","018530771","Monograph","Language material ; Text","Online resource","GBB7I3847","","9780141956732 ; 9781101487228","Carroll, Lewis","1832-1898","person","","Haughton, Hugh, 1948- [person] ; Carroll, Lewis, 1832-1898 [person] ; Tenniel, John, 1820-1914 [person]","Penguin classics","","England ; United States of America","London ; New York","Penguin","1998","","1 online resource (lxxx, 356 pages), illustrations","823.8","ELD.DS.197483","FICTION / Fantasy / General ; Fantasy fiction, English ; Alice (Fictitious character : Carroll)--Fiction ; Alice, (Fictitious character from Carroll)","Fiction","English","'Includes the manuscript version of Alice's adventures under ground and Caroll's 1887 essay ''Alice' on the stage''--Page 4 of cover ; 1st work reprinted of the 1898 edition; 2nd work reprinted of 1872 edition ; The 3rd work is the manuscript version, the 4th work is the author's 1887 essay",""
